Ticker,Market Cap,PE Ratio,Forward P/E,P/S Ratio,P/B Ratio,Dividend Yield (%),Current Ratio,Debt/Equity,Revenue Growth 4Y (%),EPS Growth 4Y (%),Forward EPS Growth (%),EPS,PEG Ratio,ROE (%),ROA (%),ROIC (%),Profit Margin (%),Gross Margin (%),Free Cash Flow Yield (%),EV/EBITDA,Recent 52-Week High,Sector
AEM.TO,56476217344.0,71.341774,24.293104,7.730649,2.8178592,1.9199999,1.514,0.09941,20.54816593,16.98055068,44.4,1.58,-1.95,3.1040002,2.105027028,2.833039469,8.486,57.757,2.297987584,15.725,True,Basic Materials
NGT.TO,84775206912.0,N/A,N/A,5.6991735,2.8916748,1.83,2.106,0.31205,0.678034116,N/A,284.3,-3.74,N/A,-8.089,-4.214857533,-5.625026674,-13.291,35.939,0.709687087,19.036,True,Basic Materials
WPM.TO,38490931200.0,49.61988,37.052402,33.98824,5.3760376,0.99,26.858,0.0008,-1.880933149,1.193140198,-13.8,1.71,1.7,8.156,8.086140378,8.132823415,50.435,79.414004,-0.517218821,44.982,True,Basic Materials
ABX.TO,48410402816.0,23.60684,13.215312,4.0921726,2.0498738,1.97,3.011,0.14538,-2.467783482,-13.89759145,23.5,1.17,-1.07,7.199,3.304737446,5.357569959,12.781,32.798,1.495407076,10.966,True,Basic Materials
TECK-B.TO,34497572864.0,23.795698,23.795698,2.2159283,1.3013054,0.75,1.476,0.37462,13.80750761,N/A,-28.9,2.79,-2.97,5.0329998,2.618947594,3.862887278,9.41,29.021,-3.580985157,8.817,False,Basic Materials
TECK-A.TO,34497552384.0,23.781363,N/A,2.2159271,1.3005214,0.75,1.476,0.37462,13.80750761,N/A,-28.9,2.79,N/A,5.0329998,2.618947594,3.862887278,9.41,29.021,-3.582474666,8.814,False,Basic Materials
FNV.TO,33414948864.0,N/A,32.518726,29.73654,5.7166843,1.13,29.115,N/A,4.551338365,N/A,-57.3,-4.13,4.53,-9.316,-8.942092517,-9.640943438,-51.918,86.26,1.496439738,33.873,False,Basic Materials
NTR.TO,31600128000.0,29.298164,11.871747,1.2229625,1.2574815,4.66,1.26,0.53142,8.575248958,32.94097989,-12.4,2.18,-0.3,3.22,1.477781831,2.039472835,3.0569999,30.357,5.988889752,9.401,False,Basic Materials
IVN.TO,25397024768.0,117.625,20.021276,N/A,5.3725376,N/A,1.174,0.04244,N/A,N/A,-14.9,0.16,0.73,3.437,3.163096413,3.378167682,N/A,N/A,-2.372813639,-239.024,False,Basic Materials
K.TO,15989681152.0,23.654545,15.488096,3.5382447,2.530144,1.25,1.271,0.31889,0.155685798,-24.92008283,41.7,0.55,-0.49,7.8099996,4.654038771,6.007671053,10.909,52.192,3.874488698,8.869,True,Basic Materials
