Ticker,Market Cap,PE Ratio,Forward P/E,P/S Ratio,P/B Ratio,Dividend Yield (%),Current Ratio,Debt/Equity,Revenue Growth 4Y (%),EPS Growth 4Y (%),Forward EPS Growth (%),EPS,PEG Ratio,ROE (%),ROA (%),ROIC (%),Profit Margin (%),Gross Margin (%),FCF Yield (%),FCF/EV,EV/EBITDA,Recent 52-Week High,Sector,Industry
TD.TO,137297485824,18.125,9.343676,2.6247392,1.2867919,5.21,N/A,N/A,5.15782020328639,-3.3530902710372845,N/A,4.32,2.23,7.332,0.4199513472898531,1.5482550325940876,15.716,N/A,N/A,N/A,N/A,False,Financial Services,Banks - Diversified
BMO.TO,94210998272,14.838896,11.830276,2.9991086,1.2232952,4.81,N/A,N/A,7.20517962685614,-6.857558496579741,17.0,8.69,6.29,8.491999999999999,0.5003352178009712,2.0097378424810723,21.201,N/A,N/A,N/A,N/A,False,Financial Services,Banks - Diversified
RY.TO,245111701504,15.07706,13.488114,4.337646,2.0943193,3.34,N/A,N/A,4.538861298229224,7.602326971145157,13.3,11.29,2.9,13.685,0.8002298553661386,2.8503789467549567,28.671999999999997,N/A,N/A,N/A,N/A,True,Financial Services,Banks - Diversified
BN.TO,112768131072,94.11392,N/A,1.1546422,2.7196577,0.58,1.496,1.47727,11.192354649568603,N/A,-97.5,0.79,N/A,2.106,0.2236456320383821,0.38405629964973637,1.0999999999999999,21.895999999999997,-3.3262943744319644,-0.7901421668390113,17.39,True,Financial Services,Asset Management
CNQ.TO,105084141568,14.03125,13.873595,2.8599772,2.66239,4.33,0.88,0.29636,23.610248649143095,N/A,21.2,3.52,N/A,19.646,10.155986313971264,15.077618392611514,20.883,51.50599999999999,10.001509117528427,9.0903962481963,6.827,False,Energy,Oil & Gas E&P
CP.TO,101775990784,28.279684,21.608871,7.0442963,2.2660577,0.70999996,0.53,0.48611,12.964135936871312,3.9803589352439994,7.1,3.79,1.98,8.088,4.337650561811521,5.39572457417216,24.502,53.634,2.0476342052251693,1.702281958354222,16.087,False,Industrials,Railroads
TRI.TO,104018599936,32.165733,39.28302,14.787973,8.866434,1.28,0.876,0.29055,3.2246667368181603,25.606703966491583,-1.9,7.12,2.11,20.406,12.05592482236993,15.718175177634638,33.650999999999996,40.276,1.8669737923745018,1.8553693893323941,50.033,False,Industrials,Specialty Business Services
CNR.TO,97508057088,18.254438,17.215403,5.6826186,4.98465,2.19,0.645,1.08238,5.0482862202760215,14.296280412802641,1.7999999999999998,8.45,1.88,27.552998000000002,10.194238528666604,13.627782412082365,31.656997999999998,55.084999999999994,3.6694403589345366,3.037856942519174,13.322,False,Industrials,Railroads
SHOP.TO,142174699520,80.17518,64.99408,18.312044,15.44649,N/A,7.325,0.12396000000000001,24.595722625281667,-21.770206355755693,N/A,1.37,1.02,15.305,12.095586488669294,12.739873401886461,16.396,51.068999999999996,0.9052243502853018,0.9336095545371651,139.104,False,Technology,Software - Application
ENB.TO,124134727680,21.896154,18.850994,2.8526227,2.0516055,6.43,0.765,1.3126,2.798195194663178,17.696664761303204,-5.5,2.6,3.05,8.574,3.14174917711651,3.9528992007350485,13.543999000000001,52.429,6.086934849914193,3.398637179379945,15.886,True,Energy,Oil & Gas Midstream
BNS.TO,89706733568,12.607705,10.269614,3.0307353,1.0929102,5.89,N/A,N/A,0.5525843120292917,1.8364506794341207,-17.299999999999997,5.71,1.9,9.488000000000001,0.533864291268353,1.9404815095751204,25.375998,N/A,N/A,N/A,N/A,True,Financial Services,Banks - Diversified
CSU.TO,91731353600,101.00849,32.891,9.895508,36.91482,0.13,0.905,1.5180799999999999,20.632451790546934,6.682127323125497,71.8,42.39,1.37,15.925999,6.0927525347352605,10.80991047262128,7.001,35.522997000000004,2.158476815499646,2.1130631327079623,59.268,False,Technology,Software - Application
MFC.TO,73561964544,17.621277,10.300995,2.5825715,1.5778844,3.8599998,N/A,N/A,-13.937288063261821,-2.8397798391038287,13.600000000000001,2.35,0.95,10.413,0.5628942637315859,8.088235294117647,17.343001,N/A,N/A,N/A,N/A,True,Financial Services,Insurance - Life
NGT.TO,91549941760,N/A,N/A,5.389412,2.5924072,2.0499999,1.963,0.30436,0.6780341161916725,N/A,303.90000000000003,-3.03,N/A,-5.159,-2.573759534898524,-3.14582847065536,-7.141,38.577,1.1152382845601059,1.231962977020235,13.792,True,Basic Materials,Gold
SU.TO,68784824320,9.305841,13.472637,1.355927,1.5527523,4.03,1.457,0.34979,20.62102965364272,N/A,-14.7,5.82,0.63,17.679001,8.601292132588997,12.771848421088283,14.866999999999999,58.446,12.547825898118104,10.528567106309271,4.99,False,Energy,Oil & Gas Integrated
ATD.TO,69648531456,18.457365,15.069621,0.9684464,4.917051,0.98,1.005,1.02109,10.918596884588982,3.5787715578785573,-2.8000000000000003,3.87,3.74,19.718,7.9482934868314965,10.037401126143799,3.7350000000000003,17.148,3.3913134284707462,2.9528646622497456,15.798,False,Consumer Cyclical,Specialty Retail
TRP.TO,68142342144,19.842901,16.54408,4.128838,2.4659283,5.8500000000000005,0.758,1.6083600000000002,5.221313108391401,-12.725255105336664,286.90000000000003,3.31,N/A,10.684000000000001,2.880828085012592,3.693721510772918,21.383,65.310997,0.4314498016207196,0.2094240937944218,14.438,True,Energy,Oil & Gas Midstream
CM.TO,82515042304,12.636759,11.611702,3.6343832,1.4960765,4.1199997,N/A,N/A,5.694606412798375,5.820538080535265,23.799999999999997,6.91,2.28,12.367,0.6837683414036188,2.731072147110283,29.563,N/A,N/A,N/A,N/A,True,Financial Services,Banks - Diversified
WCN.TO,64295481344,48.501984,32.63685,7.3946056,7.6342907,0.70999996,0.773,1.0286499999999998,10.166814360186581,39.57231344442309,33.900000000000006,5.04,1.47,11.849,4.97179181086412,5.938084014198596,10.815,41.776,1.925782300898113,1.7327847708534745,27.205,False,Industrials,Waste Management
AEM.TO,61451427840,75.02484,26.032328,8.411672,3.0195992,1.79,1.514,0.09941000000000001,20.548165932852157,16.98055068195634,44.4,1.61,N/A,3.1040002,2.1050270278627026,2.833039468542202,8.486,57.757000000000005,2.1466580132761974,2.1471012356719568,16.83,True,Basic Materials,Gold
IMO.TO,56648687616,11.081761,13.623711,1.0794749,2.3666892,2.27,1.397,0.18274,23.821024603642705,N/A,83.5,9.54,1.24,22.167,12.27437660124506,19.184808704554307,10.0880004,18.365999,8.049612783460251,7.728464205493834,6.816,True,Energy,Oil & Gas Integrated
L.TO,53162549248,26.172466,18.404257,0.8812836,4.7955647,1.1900000000000002,1.356,1.63318,3.086229175270061,20.943818018179904,-6.3,6.61,11.8,19.217000000000002,5.449236064035042,7.0909353079382855,3.4649998,32.055,6.566652745929661,4.977560964680774,13.82,False,Consumer Defensive,Grocery Stores
IFC.TO,47690969088,23.578484,16.648817,1.613853,2.9819884,1.8099998999999998,N/A,N/A,15.38439495319035,-0.7372803990761345,210.8,11.34,1.46,12.928,3.8437016121686858,9.589601417988456,7.140000000000001,N/A,N/A,N/A,14.576,True,Financial Services,Insurance - Property & Casualty
SLF.TO,45266124800,14.848485,10.695771,1.4168688,2.027097,4.1300002000000005,N/A,N/A,-6.830012797408447,6.412390213130892,-1.0999999999999999,5.28,1.38,13.647,1.0113521266236942,10.25179444541911,9.9,N/A,N/A,N/A,N/A,True,Financial Services,Insurance - Diversified
GWO.TO,44202045440,11.811558,10.377482,1.3379964,1.7433064,4.7199998,N/A,N/A,-19.642511895549863,-1.8886357709480661,137.4,3.98,1.67,13.208,0.5196014073695874,10.270845491057635,11.321,N/A,N/A,N/A,N/A,True,Financial Services,Insurance - Life
NA.TO,44818362368,12.820837,12.294117,4.225755,1.9070448,3.34,N/A,N/A,6.508024111499866,13.383233780879,24.0,10.27,1.65,15.183,0.825048752880852,4.195792071340024,34.499002000000004,N/A,N/A,N/A,N/A,True,Financial Services,Banks - Diversified
ABX.TO,50426093568,22.907562,13.043063,4.262561,2.0231557,1.9900000000000002,3.011,0.14538,-2.467783481561525,-13.897591447262148,23.5,1.19,N/A,7.199,3.3047374460412,5.357569959339871,12.781,32.798,1.7193479380488663,1.5118610595459345,10.847,True,Basic Materials,Gold
