Ticker,PE Ratio_highlight,Forward P/E_highlight,P/S Ratio_highlight,P/B Ratio_highlight,Dividend Yield (%)_highlight,Current Ratio_highlight,Debt/Equity_highlight,Revenue Growth 4Y (%)_highlight,EPS Growth 4Y (%)_highlight,Forward EPS Growth (%)_highlight,EPS_highlight,PEG Ratio_highlight,ROE (%)_highlight,ROA (%)_highlight,ROIC (%)_highlight,Profit Margin (%)_highlight,Gross Margin (%)_highlight,FCF Yield (%)_highlight,FCF/EV_highlight,EV/EBITDA_highlight
TD.TO,within,within,within,within,above,within,within,within,below,within,above,above,within,below,below,within,within,within,within,within
BMO.TO,within,within,within,within,above,within,within,above,below,above,above,above,within,below,below,within,within,within,within,within
RY.TO,within,within,above,above,within,within,within,within,within,above,above,above,above,below,below,above,within,within,within,within
BN.TO,above,within,below,above,below,within,above,above,within,below,below,within,below,below,below,below,below,below,below,within
CNQ.TO,within,above,above,above,within,below,below,within,within,above,above,within,above,above,above,above,within,above,above,within
CP.TO,within,within,above,within,below,below,within,within,below,above,above,within,within,within,within,above,above,within,within,within
TRI.TO,above,above,above,above,within,below,below,below,above,below,above,within,above,above,above,above,within,within,within,above
CNR.TO,within,within,above,above,above,below,above,below,within,above,above,within,above,above,above,above,above,above,above,within
SHOP.TO,above,above,above,above,within,above,below,above,below,within,above,below,above,above,above,above,within,below,below,above
ENB.TO,above,above,above,within,within,below,above,below,within,below,above,above,within,within,below,within,within,within,within,above
BNS.TO,within,within,within,within,above,within,within,below,below,below,above,within,within,below,below,above,within,within,within,within
CSU.TO,above,above,above,above,below,below,above,above,within,above,above,within,above,above,above,above,within,within,within,above
MFC.TO,within,within,within,above,within,within,within,below,below,above,above,below,within,below,above,within,within,within,within,within
NGT.TO,within,within,above,within,within,within,within,below,within,above,below,within,above,above,above,below,within,above,above,within
SU.TO,within,within,within,within,within,within,within,within,within,below,above,below,above,above,above,within,within,above,above,within
ATD.TO,within,within,within,above,below,within,within,within,below,within,above,above,above,above,above,above,below,within,within,within
TRP.TO,above,above,above,above,within,below,above,below,below,above,above,within,within,below,below,above,within,below,below,above
CM.TO,within,within,within,within,above,within,within,within,within,above,above,above,within,below,below,above,within,within,within,within
WCN.TO,above,above,above,above,below,below,above,within,above,above,above,within,above,within,within,above,above,within,within,above
AEM.TO,above,above,above,above,within,below,below,above,above,above,above,within,above,above,above,above,above,above,above,above
IMO.TO,within,within,below,above,below,within,below,within,within,above,above,within,above,above,above,within,below,above,above,within
L.TO,within,within,within,above,below,within,above,below,above,below,above,above,above,above,above,within,within,above,above,within
IFC.TO,above,above,below,above,below,within,within,above,below,above,above,within,above,above,above,below,within,within,within,within
