,PE Ratio,Forward P/E,P/S Ratio,P/B Ratio,Dividend Yield (%),Current Ratio,Debt/Equity,Revenue Growth 4Y (%),EPS Growth 4Y (%),Forward EPS Growth (%),EPS,PEG Ratio,ROE (%),ROA (%),ROIC (%),Profit Margin (%),Gross Margin (%),FCF Yield (%),FCF/EV,EV/EBITDA
Basic Materials,20.28869137689804,13.78656525417829,2.670383461708913,2.077879460704422,2.3907185559281436,2.513536945812808,0.2655829143897996,8.292695184762563,2.924156967270795,-11.024074074074075,-0.041081560283687944,1.604677419354839,-15.4824639827654,-15.136479813286037,-13.493699137251744,2.6891049199300694,29.430401887401818,-8.506493290283318,-7.921446472975918,10.441414814814816
Communication Services,19.204839672040816,15.991695393066665,1.0583360470517647,1.6432150753479222,3.912278465316456,1.4768819188191882,0.9671337179487179,7.301459622915372,-1.1660010776518956,-4.578048780487805,-0.08631535269709543,2.0559574468085113,-9.438188497982456,-1.6790111500048783,-2.2446361578571774,-3.5433469130204083,47.65337401118881,3.8296088865959037,2.5435397335715777,11.476656976744186
Consumer Cyclical,18.45139548600776,14.342269315670887,1.002855976424533,1.9869113257597872,2.5737219769058295,1.537332743362832,1.0082391683991683,10.095118619822685,7.130258811961618,-3.4738853503184703,0.9317142857142857,1.5130882352941177,5.361455803107991,2.563935972771416,3.1947251830444747,2.0657572556080925,36.3355331029202,4.433097796946679,2.969164864944364,11.749398568019094
Consumer Defensive,21.17144092048101,16.556561836526946,1.2050318923894263,2.4330105748158593,2.6348077022115386,1.7274501992031872,0.7758233183856502,6.614165761898797,5.8120315991420215,2.942957746478873,1.2223291666666667,1.9196638655462182,7.848922308009709,3.8755861036033554,5.0344971499849045,4.602453274999999,35.66891947957855,4.164837539001629,3.3270335815843617,11.645237569060773
Energy,12.794909754,10.116421587340824,1.7067617141107843,1.5225038875848025,5.437524265436893,1.433560830860534,0.4959613442622951,20.453577310583043,19.58847381322158,1.92,1.0009146341463413,1.2525581395348837,9.510327903934426,4.7418082157246735,6.429393445439098,11.936457645864406,48.82425526008798,5.190755084648705,3.6545237364687035,6.316531835205992
Financial Services,15.559198500464394,10.639397217460317,2.8516354636443464,1.1344898621012323,3.0380217808838474,1.7927024793388429,0.7426584860557769,4.9506774483160685,6.0979790345719005,-0.6040069686411155,1.6689710843373495,1.5237704918032784,9.390489560267165,1.4422601438920326,5.231604921096224,18.778203652148875,69.73664742159323,2.1220183412720144,1.478321323656456,12.932455399061034
Healthcare,28.23505244329299,18.277245045518796,5.490275831439467,2.5736834939288062,2.0342857093506495,3.94716213768116,0.3304692219679634,9.793245468931884,4.33605620204799,-1.78896103896104,-1.2975421209117937,1.7160504201680675,-52.47718726221481,-35.207875362077395,-38.82564778839142,-29.047041443875433,53.220823648317506,-17.87693406535946,-11.040539935703864,11.163375314861462
Industrials,23.384978495907884,17.11175578235294,1.6989048730388376,2.9404499123478263,1.570841748996633,1.8013672566371681,0.670220214876033,9.992514089997021,11.725811435785419,0.8960422163588386,1.3635139318885448,1.8687896253602305,8.486420128871528,3.936535323754387,5.158238481777662,5.275249557676625,30.004059331602374,2.102679985522832,1.9659860695568716,12.871295857988164
Real Estate,27.566461583742335,25.423119290631572,4.800463343311526,1.2684189647367041,5.419527910815451,1.575501886792453,1.2846490909090909,7.460643397932008,10.62659313102826,-1.5000000000000002,0.349368029739777,4.763085106382979,3.4956085105736436,1.3326740108178303,1.461055887102802,10.348944855511808,60.87836508322369,4.410798217349319,2.2883150081197754,18.01840975609756
Technology,34.04754462191429,23.08066282837628,3.268487926717448,3.421576741317747,1.575407419177778,2.046057106598985,0.4401269760479042,11.26999316703463,4.963319896503355,8.221323529411764,-0.05050458715596333,1.854779005524862,-3.1694605397635254,-2.439051781102087,-1.0024291400301206,-2.3458955724752504,49.62881629002401,1.9427290334968836,1.802836111034392,20.723863534675612
Utilities,19.197499126262624,17.91320757731959,2.295420456443145,1.706656364492353,3.5804081606122455,0.9620887096774194,1.1972221311475408,7.841088508068356,6.546564572670449,1.6937499999999996,1.8594573643410852,2.720779220779221,7.5823035473214295,2.501854136513934,3.416031532376296,11.906649117982457,45.70109920743801,-1.5641071824229142,-0.7382327782448682,12.39347663551402
